Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0001	25	51.3	23.7	8.1	6	2.47	13.95	5	1	1	3	2	2	2	3.05	2.27	2
WGS0002	25	50.7	24	9.8	6	3.18	13.21	4	0	4	5	4	3	3	3.52	2.58	2
WGS0003	28	69	25.8	12	4	3.97	20.58	6	0	0	1	4	3	2	5.95	4.7	2
WGS0004	28	61.7	29.7	10.8	5	2.55	13.11	5	0	0	1	2	2	2	3.8	2.77	2
WGS0005	34	70	24.8	9.8	3	4.14	16.35	7	1	1	2	4	3	2	5.89	4.42	2
WGS0006	27	43.3	23.7	5.2	3	2.8	13.17	4	1	3	9	2	2	2	1.42	1.04	2
WGS0007	33	63.7	29	10.2	3	3.28	12.23	7	0	2	3	5	3	3	3.25	2.11	3
WGS0008	27	52.3	30.5	6	2.5	5.11	11.43	4	1	3	4	2	2	3	2.23	1.7	2
WGS0009	28	58	31.9	8.7	4	4.92	11.54	5	0	0	1	5	3	3	4.23	3.46	2
WGS0010	34	72.7	26	10	5.5	4.13	13.47	5	0	0	1	5	3	3	5.07	3.99	2
WGS0011	30	49.3	26.3	8.6	4	3.1	16.21	4	1	0	2	4	3	2	4.33	3.21	2
WGS0012	32	72	35	10	4	3.94	15.97	5	1	1	2	5	3	3	4.58	3.75	2
WGS0013	28	45.3	22.3	7.7	3	3.17	10.39	4	2	1	6	5	3	3	2.1	1.42	NA
WGS0014	30	64.5	28	9.7	3	3.38	14.55	6	0	0	1	2	2	2	4.18	3.38	2
WGS0015	28	66	33.3	11.1	5.5	3.28	14.63	5	2	3	5	2	2	2	7.03	5.42	2
WGS0016	28	52	27.3	8.2	5	3.15	10.5	5	2	1	6	4	2	2	2.31	1.79	2
WGS0017	28	38.3	20.3	5.7	4	2	9.42	3	2	2	9	2	2	2	6.68	5.27	2
WGS0018	36	65.3	29.7	12.3	5	4.35	17.07	6	0	1	2	2	2	3	6.68	5.27	2
WGS0019	40	75	28.7	12.2	5	5.06	17.77	8	0	0	1	2	2	2	7.63	5.91	3
WGS0020	33	70.3	30	11.8	4.5	3.97	13.26	6	1	2	2	4	3	2	5.08	3.7	2
WGS0021	36	58.7	23.7	9	NA	4.03	18.2	7	0	0	1	4	3	3	5.49	4.18	2
WGS0022	33	66.7	33.8	9.6	4	3.64	13.82	5	0	0	1	2	2	2	5.35	4.19	2
WGS0023	33	55.3	28.3	10.3	3	3.86	13.7	6	0	0	1	2	2	2	6.69	5.12	2
WGS0024	39	70.7	25.3	11.3	4.5	4.14	17.13	8	1	0	1	3	2	2	7.35	5.26	2
WGS0025	37	72.7	30.3	9.8	2	4.44	17.15	8	0	0	1	4	2	2	6.47	4.55	6
WGS0026	42	70.3	21	16	2	4.05	12.58	6	0	0	1	5	3	3	9.41	7.39	2
WGS0027	31	48.5	21.3	9.2	NA	3.03	17.09	5	0	0	1	2	2	2	4.04	3.05	NA
WGS0028	31	54	24	9.2	NA	4.4	14.36	5	0	0	1	2	2	2	5.72	4.57	2
WGS0029	27	55.3	26	10	2	4.36	14.16	5	2	0	4	4	3	3	3.02	2.36	2
WGS0030	26	47.7	26	8.5	3	3.01	13.08	4	1	1	3	4	3	3	2.92	2.25	2
WGS0031	26	47.8	27.2	9	NA	3.1	11.96	4	0	0	1	4	2	2	4.14	3.17	2
WGS0032	26	43.3	20.3	7.7	4	2.57	11.58	4	2	1	4	4	3	2	2.63	2.03	2
WGS0033	33	63.3	30.3	13.5	3	4.31	15.6	6	0	0	1	5	3	3	7.11	5.8	2
WGS0034	27	43.7	22.7	9.3	2	3.54	14.69	5	0	0	1	5	3	3	3.34	2.63	2
WGS0035	32	39	20.7	10.2	3	2.74	11.85	5	0	0	1	5	3	2	3.94	3.05	6
WGS0036	29	47.7	24.7	9.3	3	3.64	14.45	5	0	0	1	5	3	2	5.55	4.54	6
WGS0037	27	50	26	7.8	4	3.22	9.86	5	1	3	8	5	3	2	2.03	1.68	2
WGS0038	31	56.3	29.3	10.8	1	2.84	15.74	6	0	0	1	2	2	3	5.33	4.04	2
WGS0039	32	70.7	32.3	13	1	3.98	15.28	6	0	0	1	2	2	2	5.84	4.54	2
WGS0040	32	54.7	27	11.8	2.5	3.46	14.67	6	0	0	1	5	3	3	5.39	4.14	2
WGS0041	41	67.7	25.3	13	6	4.58	13.14	7	0	0	1	5	3	3	5.92	4.63	2
WGS0042	30	55.3	23.7	11.5	4	3.89	17.66	6	0	0	1	5	3	2	6.51	5.1	6
WGS0043	34	69.3	35	10.7	3	3.89	14.25	7	0	0	1	5	3	3	5.68	4.37	2
WGS0044	27	47	24.7	6.2	1	2.44	14.12	4	0	1	2	2	2	2	2.01	1.6	2
WGS0045	30	57	30.7	9.2	1	3.73	13.65	5	0	0	1	5	3	2	5.47	4.42	2
WGS0046	32	51	30	8.2	3.5	3.4	14.78	5	0	0	1	5	3	3	3.78	3.01	6
WGS0047	34	46.2	26.2	8	3	3.46	15.88	5	0	0	1	2	2	2	2.15	1.01	3
WGS0048	39	73	30	11.3	3	5.27	17.07	7	0	0	1	2	2	2	8.96	7.05	2
WGS0049	36	69.3	26	11.2	NA	5.23	14.23	7	0	0	1	5	3	3	6.02	4.55	2
WGS0050	39	74	27.7	13	5	5.04	18.85	7	0	0	1	4	2	2	8.47	6.26	2
WGS0051	38	68.7	18.3	10.3	4	4.5	16.85	7	1	0	2	4	3	3	6.88	4.81	3
WGS0052	40	77	25	12.7	1	5.62	17.11	9	0	0	1	2	2	2	11.52	8.82	2
WGS0053	28	63.3	31	9.8	1	4.54	15.3	5	0	0	1	2	2	2	5.91	4.59	3
WGS0054	45	81.3	29	15.5	2	5.48	24.12	8	0	0	1	5	3	3	12.82	9.85	2
WGS0055	34	60.7	21	9	5	3.56	12.76	6	2	0	3	4	3	3	3.38	2.54	2
WGS0056	38	70.3	32	13	5	5.03	15.08	7	1	0	2	3	2	3	7.99	5.64	2
WGS0057	32	66	31	8.8	2	3.1	13.62	5	0	0	1	4	3	3	5.04	3.84	2
WGS0058	37	67	28	11.8	1	4.01	13.9	6	2	0	3	2	2	2	6.61	5.24	2
WGS0059	43	78.3	21	12.8	1	5.25	19.11	8	0	0	1	3	2	2	9.07	6.72	2
WGS0060	37	69.3	28.3	12	2	3.47	17.34	8	1	3	3	2	2	2	6.28	4.92	2
WGS0061	43	78	23	15	1	4.89	20.89	9	0	0	1	2	2	2	9.82	8.01	2
WGS0062	41	71.7	23.7	14	2	5.01	21.7	7	0	0	1	5	3	3	9.08	6.75	2
WGS0063	42	73.3	28.3	13.3	4	4.92	18.47	8	1	0	2	3	2	2	11.25	9.11	2
WGS0064	39	67.3	25.7	12.5	1	4.94	19.24	7	0	0	1	4	3	3	6.85	5.69	2
WGS0065	42	68.7	27	14.2	2	4.35	18.93	7	0	0	1	3	2	2	6.66	5.08	6
WGS0066	37	58.7	24.3	12.3	2	5.49	24.49	7	0	0	1	5	3	3	8.21	6.21	2
WGS0067	32	53	26	10.7	1	4.34	15.01	6	1	1	1	4	3	2	3.77	2.73	2
WGS0068	28	41.7	21	8.5	2	3.15	21.55	5	0	0	1	2	2	2	3.55	2.74	2
WGS0069	37	66.3	23	12.3	1	4.63	17.88	7	0	0	1	4	3	2	7.43	5.89	2
WGS0070	35	64	27	11.7	4	4.07	19.47	7	0	0	1	5	3	3	5.62	2.76	2
WGS0071	36	65.3	21.5	16.8	4	4.33	16.01	7	0	0	1	5	3	3	7.35	5.7	2
WGS0072	32	54	22.7	10.7	1	3.59	16.07	6	0	0	1	5	3	3	6.07	4.91	6
WGS0073	32	70	35	13.8	1	3.86	13.29	5	2	0	3	5	3	3	5.56	4.28	2
WGS0074	36	54	26.7	9.5	5	3.46	12.41	6	0	0	1	5	3	3	3.8	2.81	2
WGS0075	42	65.7	20.7	9.6	1	4.61	17.76	6	1	2	3	5	3	3	6.18	4.61	2
WGS0076	40	60.3	27.7	8.8	1	4.74	14.47	5	0	0	1	2	2	2	5.52	4.49	2
WGS0077	40	60.3	26.7	12.5	1	4.99	23.85	7	0	0	1	2	2	2	9.63	7.45	2
